;Observer;Condition;Block;Percept;Onset;Duration;Block duration;SessionID
0;n10;Scrambled static;0.0;1.0;1.21700000763;58.7990000248;60.0;2015-10-06-12-02-51
1;n10;Scrambled static;1.0;1.0;1.38499999046;14.9460000992;60.0;2015-10-06-12-02-51
2;n10;Scrambled static;1.0;-1.0;16.3310000896;20.9340000153;60.0;2015-10-06-12-02-51
3;n10;Scrambled static;1.0;1.0;39.9509999752;20.0499999523;60.0;2015-10-06-12-02-51
4;n10;Upright walker;3.0;-1.0;5.25400018692;37.9649999142;60.0;2015-10-06-12-02-51
5;n10;Upright walker;3.0;1.0;43.3190000057;1.76800012589;60.0;2015-10-06-12-02-51
6;n10;Upright walker;3.0;-1.0;45.1540000439;2.36800003052;60.0;2015-10-06-12-02-51
7;n10;Upright walker;3.0;-1.0;49.7070000172;7.62400007248;60.0;2015-10-06-12-02-51
8;n10;Upright walker;3.0;1.0;57.5640001297;2.4359998703;60.0;2015-10-06-12-02-51
9;n10;Scrambled moving;4.0;-1.0;6.37199997902;5.82100009918;60.0;2015-10-06-12-02-51
10;n10;Scrambled moving;4.0;-1.0;17.6990001202;3.85199999809;60.0;2015-10-06-12-02-51
11;n10;Scrambled moving;4.0;-1.0;41.6510000229;11.7269999981;60.0;2015-10-06-12-02-51
